Layout_Net                              Source_Net                              C_Total(F)           CC_Total(F)          C+CC_Total(F)        
sa_do<13>                               sa_do<13>                               6.81932E-17          1.68971E-15          1.75791E-15          
sa_do<9>                                sa_do<9>                                6.54737E-17          1.73408E-15          1.79955E-15          
sa_do<5>                                sa_do<5>                                6.81932E-17          1.68971E-15          1.75791E-15          
sa_do<1>                                sa_do<1>                                6.56549E-17          1.73634E-15          1.80200E-15          
wl_dac_en                               wl_dac_en                               1.33575E-16          1.54607E-15          1.67965E-15          
read_ref<4>                             read_ref<4>                             1.33409E-16          1.54481E-15          1.67822E-15          
clamp_ref<2>                            clamp_ref<2>                            1.33409E-16          1.54481E-15          1.67822E-15          
bsl_dac_config<2>                       bsl_dac_config<2>                       1.33409E-16          1.54481E-15          1.67822E-15          
rram_addr<14>                           rram_addr<14>                           1.33409E-16          1.54481E-15          1.67822E-15          
rram_addr<6>                            rram_addr<6>                            1.33409E-16          1.54481E-15          1.67822E-15          
wl_dac_config<6>                        wl_dac_config<6>                        1.33409E-16          1.54481E-15          1.67822E-15          
di<46>                                  di<46>                                  1.33409E-16          1.54481E-15          1.67822E-15          
di<38>                                  di<38>                                  1.33409E-16          1.54481E-15          1.67822E-15          
di<30>                                  di<30>                                  1.33409E-16          1.54481E-15          1.67822E-15          
di<22>                                  di<22>                                  1.33409E-16          1.54481E-15          1.67822E-15          
di<14>                                  di<14>                                  1.33409E-16          1.54481E-15          1.67822E-15          
di<6>                                   di<6>                                   1.33409E-16          1.55251E-15          1.68592E-15          
sa_clk                                  sa_clk                                  1.28843E-16          1.62618E-15          1.75502E-15          
read_ref<2>                             read_ref<2>                             1.28843E-16          1.62618E-15          1.75502E-15          
bsl_dac_en                              bsl_dac_en                              1.28843E-16          1.62618E-15          1.75502E-15          
read_dac_config<2>                      read_dac_config<2>                      1.28843E-16          1.62618E-15          1.75502E-15          
rram_addr<10>                           rram_addr<10>                           1.28843E-16          1.62618E-15          1.75502E-15          
rram_addr<2>                            rram_addr<2>                            1.28843E-16          1.62618E-15          1.75502E-15          
wl_dac_config<2>                        wl_dac_config<2>                        1.28843E-16          1.62618E-15          1.75502E-15          
di<42>                                  di<42>                                  1.28843E-16          1.62618E-15          1.75502E-15          
di<34>                                  di<34>                                  1.28843E-16          1.62618E-15          1.75502E-15          
di<26>                                  di<26>                                  1.28843E-16          1.62618E-15          1.75502E-15          
di<18>                                  di<18>                                  1.28843E-16          1.62618E-15          1.75502E-15          
di<10>                                  di<10>                                  1.28843E-16          1.63389E-15          1.76273E-15          
di<2>                                   di<2>                                   1.28715E-16          1.63670E-15          1.76542E-15          
sa_rdy                                  sa_rdy                                  1.11988E-16          1.78491E-15          1.89690E-15          
sa_do<46>                               sa_do<46>                               7.46054E-17          1.96351E-15          2.03811E-15          
sa_do<42>                               sa_do<42>                               6.97744E-17          2.05539E-15          2.12517E-15          
sa_do<38>                               sa_do<38>                               7.46207E-17          1.96141E-15          2.03603E-15          
sa_do<34>                               sa_do<34>                               6.97744E-17          2.05539E-15          2.12517E-15          
sa_do<30>                               sa_do<30>                               7.46207E-17          1.96141E-15          2.03603E-15          
sa_do<26>                               sa_do<26>                               6.97744E-17          2.05539E-15          2.12517E-15          
sa_do<22>                               sa_do<22>                               7.46207E-17          1.96141E-15          2.03603E-15          
sa_do<18>                               sa_do<18>                               6.97744E-17          2.05565E-15          2.12543E-15          
sa_do<14>                               sa_do<14>                               7.46207E-17          1.96417E-15          2.03879E-15          
sa_do<10>                               sa_do<10>                               6.97744E-17          2.05565E-15          2.12543E-15          
sa_do<6>                                sa_do<6>                                7.46207E-17          1.96417E-15          2.03879E-15          
sa_do<2>                                sa_do<2>                                6.98535E-17          2.06174E-15          2.13160E-15          
wl_en                                   wl_en                                   1.57543E-16          1.97803E-15          2.13557E-15          
read_ref<5>                             read_ref<5>                             1.56967E-16          1.97754E-15          2.13451E-15          
clamp_ref<3>                            clamp_ref<3>                            1.56967E-16          1.97754E-15          2.13451E-15          
bsl_dac_config<3>                       bsl_dac_config<3>                       1.56967E-16          1.97754E-15          2.13451E-15          
rram_addr<15>                           rram_addr<15>                           1.56967E-16          1.97754E-15          2.13451E-15          
rram_addr<7>                            rram_addr<7>                            1.56967E-16          1.97754E-15          2.13451E-15          
wl_dac_config<7>                        wl_dac_config<7>                        1.56967E-16          1.97754E-15          2.13451E-15          
di<47>                                  di<47>                                  1.56967E-16          1.97754E-15          2.13451E-15          
di<39>                                  di<39>                                  1.56967E-16          1.97754E-15          2.13451E-15          
di<31>                                  di<31>                                  1.56967E-16          1.97754E-15          2.13451E-15          
di<23>                                  di<23>                                  1.56967E-16          1.97754E-15          2.13451E-15          
di<15>                                  di<15>                                  1.56967E-16          1.97754E-15          2.13451E-15          
di<7>                                   di<7>                                   1.56967E-16          1.98525E-15          2.14221E-15          
sa_en                                   sa_en                                   1.47759E-16          2.05402E-15          2.20178E-15          
read_ref<3>                             read_ref<3>                             1.47759E-16          2.05402E-15          2.20178E-15          
sl_en                                   sl_en                                   1.47759E-16          2.05402E-15          2.20178E-15          
read_dac_config<3>                      read_dac_config<3>                      1.47759E-16          2.05402E-15          2.20178E-15          
rram_addr<11>                           rram_addr<11>                           1.47759E-16          2.05402E-15          2.20178E-15          
rram_addr<3>                            rram_addr<3>                            1.47759E-16          2.05402E-15          2.20178E-15          
